LANP_label,ENG_label,AgeGroup,ST_label,n
Spanish,Very well,Adult,California/CA,4355801
Spanish,Very well,Adult,Texas/TX,3166999
Spanish,Very well,Youth,California/CA,1798064
Spanish,Very well,Adult,Florida/FL,1797359
Spanish,Well,Adult,California/CA,1266766
Spanish,Very well,Youth,Texas/TX,1239955
Spanish,Not well,Adult,California/CA,1227400
Spanish,Very well,Adult,New York/NY,1092911
Spanish,Well,Adult,Texas/TX,929444
Spanish,Not well,Adult,Texas/TX,800404
Spanish,Very well,Adult,Illinois/IL,678872
Spanish,Very well,Adult,Arizona/AZ,614081
Spanish,Not at all,Adult,California/CA,595473
Spanish,Well,Adult,Florida/FL,589025
Spanish,Very well,Youth,Florida/FL,577726
Spanish,Very well,Adult,New Jersey/NJ,545961
Spanish,Not well,Adult,Florida/FL,496681
Spanish,Not at all,Adult,Texas/TX,468705
Spanish,Very well,Youth,New York/NY,381467
Spanish,Well,Adult,New York/NY,380659
Spanish,Very well,Senior,Texas/TX,365866
Spanish,Not well,Adult,New York/NY,355624
Spanish,Very well,Senior,California/CA,341538
Tagalog,Very well,Adult,California/CA,326109
Spanish,Very well,Youth,Illinois/IL,299310
Spanish,Well,Youth,California/CA,282143
Spanish,Very well,Adult,Georgia/GA,280387
Spanish,Well,Youth,Texas/TX,269484
Spanish,Very well,Adult,Pennsylvania/PA,262533
Spanish,Very well,Adult,North Carolina/NC,262253
Spanish,Very well,Adult,Colorado/CO,255168
Spanish,Very well,Adult,Massachusetts/MA,248063
Spanish,Not at all,Adult,Florida/FL,245400
Spanish,Not well,Senior,California/CA,241564
Spanish,Very well,Youth,Arizona/AZ,239762
Spanish,Very well,Adult,Nevada/NV,239700
Spanish,Very well,Adult,New Mexico/NM,236837
Spanish,Very well,Adult,Washington/WA,235057
Spanish,Very well,Adult,Virginia/VA,231657
Spanish,Very well,Youth,New Jersey/NJ,226957
Spanish,Well,Adult,Illinois/IL,224160
Spanish,Very well,Senior,Florida/FL,215033
Chinese,Very well,Adult,California/CA,211287
Spanish,Well,Adult,New Jersey/NJ,198880
Spanish,Not at all,Senior,California/CA,196821
Haitian,Very well,Adult,Florida/FL,187251
Spanish,Not well,Adult,Illinois/IL,183314
Spanish,Not well,Adult,New Jersey/NJ,182308
Spanish,Well,Senior,California/CA,181656
Spanish,Very well,Adult,Maryland/MD,172095
Spanish,Very well,Youth,North Carolina/NC,171624
Vietnamese,Very well,Adult,California/CA,168397
Spanish,Very well,Adult,Connecticut/CT,167813
Spanish,Very well,Youth,Georgia/GA,163563
Spanish,Not well,Senior,Florida/FL,154423
Spanish,Very well,Adult,Oregon/OR,143381
Spanish,Not at all,Adult,New York/NY,142931
Spanish,Well,Adult,Arizona/AZ,138007
Hindi,Very well,Adult,California/CA,137458
Spanish,Very well,Adult,Utah/UT,136836
Chinese,Well,Adult,California/CA,136502
Spanish,Well,Senior,Texas/TX,135232
Spanish,Not at all,Senior,Texas/TX,133996
Spanish,Not well,Senior,Texas/TX,133754
Spanish,Well,Senior,Florida/FL,133197
Spanish,Very well,Youth,Washington/WA,129514
Spanish,Not at all,Senior,Florida/FL,129105
Korean,Very well,Adult,California/CA,125053
Spanish,Not well,Adult,Arizona/AZ,124285
Mandarin,Very well,Adult,California/CA,122435
Spanish,Very well,Senior,New York/NY,119863
Spanish,Very well,Adult,Michigan/MI,117899
Spanish,Very well,Adult,Indiana/IN,115912
Spanish,Very well,Adult,Ohio/OH,114762
Vietnamese,Well,Adult,California/CA,111714
Spanish,Very well,Youth,Colorado/CO,111554
Spanish,Not well,Adult,Georgia/GA,110238
Spanish,Well,Adult,Georgia/GA,110208
Spanish,Very well,Youth,Nevada/NV,108878
Spanish,Very well,Adult,Oklahoma/OK,104196
Spanish,Very well,Youth,Virginia/VA,103391
Tagalog,Well,Adult,California/CA,102799
Spanish,Very well,Adult,Wisconsin/WI,102721
Spanish,Not well,Adult,North Carolina/NC,99597
Spanish,Well,Adult,North Carolina/NC,98888
Spanish,Very well,Youth,Pennsylvania/PA,98820
Chinese,Very well,Adult,New York/NY,96673
Arabic,Very well,Adult,California/CA,95377
Vietnamese,Not well,Adult,California/CA,94317
Cantonese,Very well,Adult,California/CA,94168
Spanish,Not well,Youth,Texas/TX,93837
Spanish,Well,Adult,Virginia/VA,93661
Farsi,Very well,Adult,California/CA,93107
Spanish,Very well,Youth,Massachusetts/MA,91893
Spanish,Not well,Senior,New York/NY,90697
Spanish,Very well,Youth,Maryland/MD,90240
Tagalog,Very well,Senior,California/CA,89903
Spanish,Well,Adult,Pennsylvania/PA,89902
Spanish,Not at all,Adult,New Jersey/NJ,89299
Spanish,Very well,Adult,Tennessee/TN,87954
Spanish,Well,Adult,Massachusetts/MA,84995
Armenian,Very well,Adult,California/CA,82624
Chinese,Not well,Adult,New York/NY,82141
Spanish,Not well,Youth,California/CA,81618
Spanish,Very well,Adult,South Carolina/SC,80485
Russian,Very well,Adult,New York/NY,80351
Spanish,Well,Adult,Nevada/NV,79872
Spanish,Not well,Adult,Washington/WA,79549
French,Very well,Adult,California/CA,78127
Spanish,Well,Senior,New York/NY,77525
Spanish,Well,Adult,Colorado/CO,77320
Spanish,Well,Youth,Florida/FL,77307
Spanish,Not well,Adult,Virginia/VA,76785
Spanish,Well,Adult,Washington/WA,76456
Spanish,Very well,Adult,Kansas/KS,76271
Spanish,Very well,Youth,Oregon/OR,75695
Spanish,Well,Adult,Maryland/MD,75645
Spanish,Very well,Adult,Minnesota/MN,75624
Spanish,Not well,Adult,Massachusetts/MA,75103
Russian,Very well,Adult,California/CA,74054
Haitian,Well,Adult,Florida/FL,73950
Portuguese,Very well,Adult,Massachusetts/MA,73726
Spanish,Very well,Senior,Arizona/AZ,73503
Chinese,Well,Adult,New York/NY,73479
Spanish,Not well,Adult,Nevada/NV,72752
Spanish,Very well,Senior,New Mexico/NM,72192
Haitian,Very well,Adult,New York/NY,72046
French,Very well,Adult,New York/NY,71935
Vietnamese,Very well,Adult,Texas/TX,71003
Korean,Well,Adult,California/CA,70959
Haitian,Very well,Youth,Florida/FL,70265
Spanish,Not well,Adult,Maryland/MD,69940
Chinese,Not well,Adult,California/CA,69128
Spanish,Not well,Adult,Pennsylvania/PA,68440
Spanish,Not at all,Adult,Arizona/AZ,67767
Spanish,Very well,Youth,New Mexico/NM,67153
Polish,Very well,Adult,Illinois/IL,67102
Spanish,Very well,Youth,Connecticut/CT,64475
Spanish,Not well,Adult,Colorado/CO,64267
Spanish,Very well,Adult,Missouri/MO,64248
Italian,Very well,Adult,New York/NY,64189
Spanish,Very well,Youth,Utah/UT,64150
Spanish,Well,Youth,New York/NY,64029
Arabic,Very well,Adult,Michigan/MI,63405
Punjabi,Very well,Adult,California/CA,62932
Portuguese,Very well,Adult,Florida/FL,62667
Spanish,Not at all,Senior,New York/NY,61089
Mandarin,Well,Adult,California/CA,61087
Spanish,Not at all,Adult,Illinois/IL,61015
Spanish,Very well,Youth,Indiana/IN,60856
Spanish,Very well,Youth,Oklahoma/OK,59749
Filipino,Very well,Adult,California/CA,59442
Spanish,Well,Adult,Connecticut/CT,59189
Hindi,Very well,Adult,New Jersey/NJ,56941
Hindi,Very well,Adult,Texas/TX,56685
Spanish,Very well,Adult,Idaho/ID,55803
Spanish,Very well,Adult,Louisiana/LA,55465
Spanish,Very well,Youth,Tennessee/TN,53702
Spanish,Very well,Adult,Arkansas/AR,53408
German,Very well,Adult,California/CA,53082
Yiddish,Very well,Adult,New York/NY,53042
Tagalog,Well,Senior,California/CA,52616
Spanish,Very well,Youth,Michigan/MI,51919
Spanish,Very well,Adult,Rhode Island/RI,51842
Spanish,Not well,Adult,Connecticut/CT,51359
Arabic,Very well,Adult,Texas/TX,51114
Spanish,Very well,Adult,Alabama/AL,50810
Vietnamese,Very well,Youth,California/CA,50661
Spanish,Very well,Youth,Wisconsin/WI,50480
Chinese,Very well,Youth,California/CA,50029
Japanese,Very well,Adult,California/CA,49613
Spanish,Not at all,Adult,Georgia/GA,49308
Spanish,Very well,Adult,Nebraska/NE,48986
