"household_language","state","speakers","total_speakers_by_language","percent_speakers","total_speakers_by_state","percent_speakers_by_state","state_abbreviation"
"Jamaican Creole English","Alabama",218,110028,0.2,4273154,0.01,"AL"
"Jamaican Creole English","Alaska",0,110028,0,643509,0,"AK"
"Jamaican Creole English","Arizona",465,110028,0.42,6481034,0.01,"AZ"
"Jamaican Creole English","Arkansas",66,110028,0.06,2656747,0,"AR"
"Jamaican Creole English","California",4297,110028,3.91,34885769,0.01,"CA"
"Jamaican Creole English","Colorado",1189,110028,1.08,5205618,0.02,"CO"
"Jamaican Creole English","Connecticut",8901,110028,8.09,3243543,0.27,"CT"
"Jamaican Creole English","Delaware",1040,110028,0.95,868386,0.12,"DE"
"Jamaican Creole English","District of Columbia",732,110028,0.67,586792,0.12,"DC"
"Jamaican Creole English","Florida",21005,110028,19.09,18666465,0.11,"FL"
"Jamaican Creole English","Georgia",7331,110028,6.66,9270184,0.08,"GA"
"Jamaican Creole English","Hawaii",0,110028,0,1268826,0,"HI"
"Jamaican Creole English","Idaho",63,110028,0.06,1608055,0,"ID"
"Jamaican Creole English","Illinois",1078,110028,0.98,11513071,0.01,"IL"
"Jamaican Creole English","Indiana",627,110028,0.57,6051758,0.01,"IN"
"Jamaican Creole English","Iowa",201,110028,0.18,2869061,0.01,"IA"
"Jamaican Creole English","Kansas",430,110028,0.39,2631827,0.02,"KS"
"Jamaican Creole English","Kentucky",558,110028,0.51,3999146,0.01,"KY"
"Jamaican Creole English","Louisiana",171,110028,0.16,3954844,0,"LA"
"Jamaican Creole English","Maine",359,110028,0.33,1231579,0.03,"ME"
"Jamaican Creole English","Maryland",6196,110028,5.63,5533146,0.11,"MD"
"Jamaican Creole English","Massachusetts",5967,110028,5.42,6355905,0.09,"MA"
"Jamaican Creole English","Michigan",842,110028,0.77,9080289,0.01,"MI"
"Jamaican Creole English","Minnesota",445,110028,0.4,5150715,0.01,"MN"
"Jamaican Creole English","Mississippi",187,110028,0.17,2541044,0.01,"MS"
"Jamaican Creole English","Missouri",561,110028,0.51,5508462,0.01,"MO"
"Jamaican Creole English","Montana",0,110028,0,952635,0,"MT"
"Jamaican Creole English","Nebraska",190,110028,0.17,1776556,0.01,"NE"
"Jamaican Creole English","Nevada",198,110028,0.18,2744626,0.01,"NV"
"Jamaican Creole English","New Hampshire",233,110028,0.21,1234766,0.02,"NH"
"Jamaican Creole English","New Jersey",6473,110028,5.88,8410259,0.08,"NJ"
"Jamaican Creole English","New Mexico",171,110028,0.16,1800441,0.01,"NM"
"Jamaican Creole English","New York",20957,110028,19.05,17870301,0.12,"NY"
"Jamaican Creole English","North Carolina",2348,110028,2.13,9147135,0.03,"NC"
"Jamaican Creole English","North Dakota",0,110028,0,691239,0,"ND"
"Jamaican Creole English","Ohio",1780,110028,1.62,10674943,0.02,"OH"
"Jamaican Creole English","Oklahoma",69,110028,0.06,3496942,0,"OK"
"Jamaican Creole English","Oregon",1134,110028,1.03,3856566,0.03,"OR"
"Jamaican Creole English","Pennsylvania",5401,110028,4.91,11689113,0.05,"PA"
"Jamaican Creole English","Rhode Island",60,110028,0.05,966639,0.01,"RI"
"Jamaican Creole English","South Carolina",1753,110028,1.59,4451500,0.04,"SC"
"Jamaican Creole English","South Dakota",123,110028,0.11,780990,0.02,"SD"
"Jamaican Creole English","Tennessee",1252,110028,1.14,6096043,0.02,"TN"
"Jamaican Creole English","Texas",2469,110028,2.24,25732230,0.01,"TX"
"Jamaican Creole English","Utah",0,110028,0,2890269,0,"UT"
"Jamaican Creole English","Vermont",141,110028,0.13,563783,0.03,"VT"
"Jamaican Creole English","Virginia",1376,110028,1.25,7632032,0.02,"VA"
"Jamaican Creole English","Washington",529,110028,0.48,6985060,0.01,"WA"
"Jamaican Creole English","West Virginia",154,110028,0.14,1562854,0.01,"WV"
"Jamaican Creole English","Wisconsin",288,110028,0.26,5356572,0.01,"WI"
"Jamaican Creole English","Wyoming",0,110028,0,516070,0,"WY"
"Other English-based Creole languages","Alabama",0,79219,0,4273154,0,"AL"
"Other English-based Creole languages","Alaska",67,79219,0.08,643509,0.01,"AK"
"Other English-based Creole languages","Arizona",504,79219,0.64,6481034,0.01,"AZ"
"Other English-based Creole languages","Arkansas",92,79219,0.12,2656747,0,"AR"
"Other English-based Creole languages","California",3338,79219,4.21,34885769,0.01,"CA"
"Other English-based Creole languages","Colorado",223,79219,0.28,5205618,0,"CO"
"Other English-based Creole languages","Connecticut",1280,79219,1.62,3243543,0.04,"CT"
"Other English-based Creole languages","Delaware",1272,79219,1.61,868386,0.15,"DE"
"Other English-based Creole languages","District of Columbia",224,79219,0.28,586792,0.04,"DC"
"Other English-based Creole languages","Florida",4032,79219,5.09,18666465,0.02,"FL"
"Other English-based Creole languages","Georgia",3549,79219,4.48,9270184,0.04,"GA"
"Other English-based Creole languages","Hawaii",19549,79219,24.68,1268826,1.54,"HI"
"Other English-based Creole languages","Idaho",74,79219,0.09,1608055,0,"ID"
"Other English-based Creole languages","Illinois",1892,79219,2.39,11513071,0.02,"IL"
"Other English-based Creole languages","Indiana",347,79219,0.44,6051758,0.01,"IN"
"Other English-based Creole languages","Iowa",3,79219,0,2869061,0,"IA"
"Other English-based Creole languages","Kansas",70,79219,0.09,2631827,0,"KS"
"Other English-based Creole languages","Kentucky",327,79219,0.41,3999146,0.01,"KY"
"Other English-based Creole languages","Louisiana",103,79219,0.13,3954844,0,"LA"
"Other English-based Creole languages","Maine",0,79219,0,1231579,0,"ME"
"Other English-based Creole languages","Maryland",10515,79219,13.27,5533146,0.19,"MD"
"Other English-based Creole languages","Massachusetts",1314,79219,1.66,6355905,0.02,"MA"
"Other English-based Creole languages","Michigan",264,79219,0.33,9080289,0,"MI"
"Other English-based Creole languages","Minnesota",1370,79219,1.73,5150715,0.03,"MN"
"Other English-based Creole languages","Mississippi",92,79219,0.12,2541044,0,"MS"
"Other English-based Creole languages","Missouri",490,79219,0.62,5508462,0.01,"MO"
"Other English-based Creole languages","Montana",58,79219,0.07,952635,0.01,"MT"
"Other English-based Creole languages","Nebraska",0,79219,0,1776556,0,"NE"
"Other English-based Creole languages","Nevada",437,79219,0.55,2744626,0.02,"NV"
"Other English-based Creole languages","New Hampshire",128,79219,0.16,1234766,0.01,"NH"
