"household_language","speak_english","age_group","state","speakers","total_speakers_of_language_in_us","percentage_speakers_in_state","state_pop_of_non_english_households","percent_state_pop_speaking_language","state_abbreviation"
"Spanish","Very well","Adult","California",4355801,41244779,10.560854259881,16380757,26.5909627986057,"CA"
"Spanish","Very well","Adult","Texas",3166999,41244779,7.67854520447303,9497841,33.3444095347564,"TX"
"Spanish","Very well","Youth","California",1798064,41244779,4.3594948102401,16380757,10.9766844108609,"CA"
"Spanish","Very well","Adult","Florida",1797359,41244779,4.35778550298451,6032018,29.7969767331596,"FL"
"Spanish","Well","Adult","California",1266766,41244779,3.07133661693278,16380757,7.73325677195505,"CA"
"Spanish","Very well","Youth","Texas",1239955,41244779,3.006332025685,9497841,13.0551248436355,"TX"
"Spanish","Not well","Adult","California",1227400,41244779,2.97589180923966,16380757,7.49293820792287,"CA"
"Spanish","Very well","Adult","New York",1092911,41244779,2.64981659860512,5795855,18.8567691910857,"NY"
"Spanish","Well","Adult","Texas",929444,41244779,2.25348279839249,9497841,9.78584501467228,"TX"
"Spanish","Not well","Adult","Texas",800404,41244779,1.94061895688664,9497841,8.42722045989188,"TX"
"Spanish","Very well","Adult","Illinois",678872,41244779,1.64595863151552,2824136,24.0382191225918,"IL"
"Spanish","Very well","Adult","Arizona",614081,41244779,1.48886965790264,1786775,34.3681213359265,"AZ"
"Spanish","Not at all","Adult","California",595473,41244779,1.4437536445522,16380757,3.63519830005414,"CA"
"Spanish","Well","Adult","Florida",589025,41244779,1.4281201506741,6032018,9.76497417613807,"FL"
"Spanish","Very well","Youth","Florida",577726,41244779,1.40072516814795,6032018,9.57765709585084,"FL"
"Spanish","Very well","Adult","New Jersey",545961,41244779,1.32370935967435,2786732,19.5914425929727,"NJ"
"Spanish","Not well","Adult","Florida",496681,41244779,1.2042275702338,6032018,8.2340768877016,"FL"
"Spanish","Not at all","Adult","Texas",468705,41244779,1.13639837905302,9497841,4.93485835359847,"TX"
"Spanish","Very well","Youth","New York",381467,41244779,0.924885547331942,5795855,6.5817209022655,"NY"
"Spanish","Well","Adult","New York",380659,41244779,0.922926511498583,5795855,6.56777990477678,"NY"
"Spanish","Very well","Senior","Texas",365866,41244779,0.887060153722729,9497841,3.85209649224492,"TX"
"Spanish","Not well","Adult","New York",355624,41244779,0.862227919805316,5795855,6.1358332808533,"NY"
"Spanish","Very well","Senior","California",341538,41244779,0.828075718383653,16380757,2.084995217254,"CA"
"Tagalog","Very well","Adult","California",326109,1318650,24.7305198498464,16380757,1.99080543103106,"CA"
"Spanish","Very well","Youth","Illinois",299310,41244779,0.725691850597624,2824136,10.5982856349694,"IL"
"Spanish","Well","Youth","California",282143,41244779,0.684069612786627,16380757,1.7224051367101,"CA"
"Spanish","Very well","Adult","Georgia",280387,41244779,0.679812104218088,1423123,19.7022323439365,"GA"
"Spanish","Well","Youth","Texas",269484,41244779,0.653377243214226,9497841,2.83731850217328,"TX"
"Spanish","Very well","Adult","Pennsylvania",262533,41244779,0.636524201038876,1443616,18.1857917895064,"PA"
"Spanish","Very well","Adult","North Carolina",262253,41244779,0.635845327235236,1177461,22.2727546814714,"NC"
"Spanish","Very well","Adult","Colorado",255168,41244779,0.618667395453859,879388,29.0165433233112,"CO"
"Spanish","Very well","Adult","Massachusetts",248063,41244779,0.601440972686507,1616535,15.345352868945,"MA"
"Spanish","Not at all","Adult","Florida",245400,41244779,0.594984397904035,6032018,4.06829024714449,"FL"
"Spanish","Not well","Senior","California",241564,41244779,0.585683826794174,16380757,1.47468154249526,"CA"
"Spanish","Very well","Youth","Arizona",239762,41244779,0.581314788957895,1786775,13.4187012914329,"AZ"
"Spanish","Very well","Adult","Nevada",239700,41244779,0.581164466901374,866221,27.6719220614601,"NV"
"Spanish","Very well","Adult","New Mexico",236837,41244779,0.574222982259161,657588,36.0160161073499,"NM"
"Spanish","Very well","Adult","Washington",235057,41244779,0.569907284507452,1465617,16.0380918070683,"WA"
"Spanish","Very well","Adult","Virginia",231657,41244779,0.56166381689183,1333933,17.3664644326214,"VA"
"Spanish","Very well","Youth","New Jersey",226957,41244779,0.550268435187882,2786732,8.14419901160212,"NJ"
"Spanish","Well","Adult","Illinois",224160,41244779,0.543486970799383,2824136,7.9372948044995,"IL"
"Spanish","Very well","Senior","Florida",215033,41244779,0.521358109350034,6032018,3.56486005181019,"FL"
"Chinese","Very well","Adult","California",211287,2112607,10.0012449073585,16380757,1.28984881467932,"CA"
"Spanish","Well","Adult","New Jersey",198880,41244779,0.482194364527932,2786732,7.13667478609353,"NJ"
"Spanish","Not at all","Senior","California",196821,41244779,0.477202217521883,16380757,1.20153787764509,"CA"
"Haitian","Very well","Adult","Florida",187251,890380,21.0304589051865,6032018,3.1042845031298,"FL"
"Spanish","Not well","Adult","Illinois",183314,41244779,0.444453830144174,2824136,6.49097635524635,"IL"
"Spanish","Not well","Adult","New Jersey",182308,41244779,0.442014733549669,2786732,6.54199973302061,"NJ"
"Spanish","Well","Senior","California",181656,41244779,0.440433927406909,16380757,1.10895973855177,"CA"
"Spanish","Very well","Adult","Maryland",172095,41244779,0.417252811561919,1126130,15.281983429977,"MD"
"Spanish","Very well","Youth","North Carolina",171624,41244779,0.416110848842226,1177461,14.5757693885403,"NC"
"Vietnamese","Very well","Adult","California",168397,1529274,11.0115649648134,16380757,1.02801720335635,"CA"
"Spanish","Very well","Adult","Connecticut",167813,41244779,0.406870891464832,761163,22.0469203048493,"CT"
"Spanish","Very well","Youth","Georgia",163563,41244779,0.396566556945304,1423123,11.4932440836105,"GA"
"Spanish","Not well","Senior","Florida",154423,41244779,0.374406176355073,6032018,2.56005535792499,"FL"
"Spanish","Very well","Adult","Oregon",143381,41244779,0.34763430299869,616044,23.2744739012148,"OR"
"Spanish","Not at all","Adult","New York",142931,41244779,0.346543255814269,5795855,2.46608999017401,"NY"
"Spanish","Well","Adult","Arizona",138007,41244779,0.334604775067409,1786775,7.72380406038813,"AZ"
"Hindi","Very well","Adult","California",137458,871964,15.7641829249831,16380757,0.839143148268423,"CA"
"Spanish","Very well","Adult","Utah",136836,41244779,0.331765627838617,458522,29.8428428734063,"UT"
"Chinese","Well","Adult","California",136502,2112607,6.46130586521771,16380757,0.833307032147538,"CA"
"Spanish","Well","Senior","Texas",135232,41244779,0.327876650763482,9497841,1.42381831828939,"TX"
"Spanish","Not at all","Senior","Texas",133996,41244779,0.324879907830273,9497841,1.41080483448817,"TX"
"Spanish","Not well","Senior","Texas",133754,41244779,0.324293166899985,9497841,1.40825688701253,"TX"
"Spanish","Well","Senior","Florida",133197,41244779,0.322942692940602,6032018,2.20816648756685,"FL"
"Spanish","Very well","Youth","Washington",129514,41244779,0.314013077873444,1465617,8.836824354521,"WA"
"Spanish","Not at all","Senior","Florida",129105,41244779,0.313021437210271,6032018,2.14032849371471,"FL"
"Korean","Very well","Adult","California",125053,1090236,11.4702688225302,16380757,0.763414047348361,"CA"
"Spanish","Not well","Adult","Arizona",124285,41244779,0.301335109590477,1786775,6.95582823802661,"AZ"
"Mandarin","Very well","Adult","California",122435,739644,16.5532337178426,16380757,0.747431879979662,"CA"
"Spanish","Very well","Senior","New York",119863,41244779,0.29061375259157,5795855,2.06808141335489,"NY"
"Spanish","Very well","Adult","Michigan",117899,41244779,0.285851937768899,945842,12.464978294472,"MI"
